c3,year,id,country,c2,gini,ge0,ge1,ge2,a025,a050,a075,a1,a2,palma,ratio_top20bottom20,bottom40,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,link,pop_share,inc_share,w_ge0,w_ge1,w_ge2,w_a050,w_a1,b_ge0,b_ge1,b_ge2,b_a050,b_a1,wiidcompanion,resource_pref,scale_pref,quality_pref,shares_nonnull,rank_key
GTM,2023,10432,Guatemala,GT,49.4,35.08,42.800000000000004,193.16,10.24,19.1,24.26,35.1,47.050000000000004,3.14,16.6,11.6,3.22,8.38,13.38,21.56,53.46,0.78,2.44,3.65,4.73,5.98,7.4,9.36,12.200000000000001,17.05,36.410000000000004,0.84,26.64,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Central America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,2768.0,1889.0,US$2021PPP,Year,0.12410380248879838,,,12389.0,18124838.0,New 2025,High,11,United Nations,ECLAC,New series,National Survey of Living Conditions (ENCOVI),https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,,,,,,,,,,,,,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
GUY,2006,10454,Guyana,GY,35.0,,,,,,,,,2.44,6.0,14.09,7.0,9.82,14.5,21.3,42.0,1.16,3.11,4.36,5.46,6.58,7.92,9.57,11.73,15.71,34.39,,18.8,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,High income,3055.0,2206.0,US$2021PPP,Year,0.004995296096176109,,,8702.0,758966.0,New 2013,High,12,National statistical authority,Guyana Bureau of Statistics,Series 1992-1998,Household Budget Survey,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,3.0,2,"(3.0, 1.0, 2.0, 2)"
HKG,2016,10687,Hong Kong,HK,42.0,,,,,,,,,2.81,13.89,12.700000000000001,3.7,9.0,14.3,21.5,51.4,1.0,2.7,3.9,5.1000000000000005,6.4,7.9,9.6,11.9,15.700000000000001,35.7,,23.3,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,High income,54888.0,300000.0,Hong Kong dollar,Year,0.12882862572063514,,,63749.0,7408010.0,New 2018,High,11,National statistical authority,Hong Kong Census and Statistics Department,Annual Digest of Statistics 1990,Population Census,,,,,,,,,,,,,,No,4.0,2.0,3.0,0,"(3.0, 4.0, 2.0, 0)"
HND,2023,10661,Honduras,HN,47.1,42.94,38.1,59.67,,17.7,,33.3,59.35,2.73,13.620000000000001,12.43,3.7800000000000002,8.65,13.72,22.35,51.480000000000004,1.1500000000000001,2.63,3.7600000000000002,4.89,6.08,7.640000000000001,9.52,12.83,17.490000000000002,33.99,,28.0,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Central America,Latin America and the Caribbean,Non-EU,Non-OECD,Lower middle income,3637.0,2529.0,Local currency unit,Year,0.07035728956046762,,,6468.0,10644851.0,New 2025,High,11,United Nations,ECLAC,New series,Encuesta Permanente de Hogares de Propositos Multiples (EPHPM),https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,,,,,,,,,,,,,Yes,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
HRV,2023,5487,Croatia,HR,30.02,1635.66,1544.41,1838.2,380.66,754.08,1126.91,1508.89,3679.06,1.09,4.8500000000000005,21.240000000000002,7.8500000000000005,13.39,17.55,23.16,38.04,2.93,4.92,6.22,7.18,8.25,9.3,10.74,12.42,14.99,23.06,1.09,13.86,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,EU,Non-OECD,High income,7049.0,6170.0,Euro,Year,0.14914312427949897,,,41117.0,3896023.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
HTI,2012,10458,Haiti,HT,60.45,,,,,,,,,6.26,29.150000000000002,7.68,2.2,5.48,9.950000000000001,18.23,64.14,0.77,1.43,2.27,3.21,4.28,5.67,7.61,10.620000000000001,16.03,48.1,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Lower middle income,1276.0,622.0,US$2021PPP,Year,0.04723516815719856,,,3286.0,10069771.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2012-2012,ECVMAS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,2.0,2.0,2.0,15,"(2.0, 2.0, 2.0, 15)"
HUN,2023,11075,Hungary,HU,30.22,1820.1100000000001,1807.3600000000001,2982.41,432.75,842.11,1247.01,1664.08,3720.85,1.1400000000000001,4.65,21.39,8.24,13.15,17.96,22.31,38.34,2.79,5.45,6.03,7.12,8.290000000000001,9.67,10.44,11.870000000000001,13.92,24.43,0.65,15.65,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,EU,OECD,High income,5738.0,5126.0,Euro,Year,0.0047530776177574985,1524.0,,40544.0,9686463.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
IDN,2023,11668,Indonesia,ID,36.06,,,,,,,,,1.54,5.68,19.44,7.86,11.58,15.18,20.740000000000002,44.64,3.33,4.53,5.39,6.19,7.0600000000000005,8.120000000000001,9.44,11.3,14.77,29.86,,23.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,Upper middle income,2793.0,2111.0,US$2021PPP,Year,7.473354688029149e-05,,,13890.0,281190048.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2015-2023,SUSENAS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
IND,2022,11573,India,IN,32.78,49.99,53.56,139.52,12.14,22.34,31.23,39.34,71.48,1.26,5.14,20.21,7.97,12.24,16.36,22.47,40.96,3.33,4.64,5.62,6.62,7.63,8.73,10.18,12.290000000000001,15.48,25.48,0.34,27.73,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,1773.0,1439.0,US$2021PPP,Year,0.018713543677722846,,,8545.0,1425423232.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2016-2022,CPHS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
IRL,2023,12274,Ireland,IE,29.96,1582.3600000000001,1879.44,4296.54,429.03000000000003,799.97,1138.31,1463.51,3331.17,1.12,4.41,22.07,8.82,13.25,16.81,22.19,38.93,3.58,5.24,6.24,7.0,7.88,8.93,10.3,11.89,14.3,24.63,1.45,15.75,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,22931.0,19332.0,Euro,Year,0.668628101666667,,,114922.0,5196630.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
IRN,2023,11710,Iran,IR,34.800000000000004,,,,,,,,,1.41,5.89,19.03,7.17,11.86,16.28,22.45,42.25,2.83,4.33,5.42,6.44,7.5200000000000005,8.76,10.23,12.22,15.41,26.84,,29.7,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,4919.0,3983.0,US$2021PPP,Year,0.011104764134859717,,,15912.0,90608704.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2005-2022,HEIS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
IRQ,2013,11732,Iraq,IQ,40.92,30.400000000000002,38.76,430.7,8.28,14.91,20.76,26.21,48.050000000000004,1.95,8.5,16.25,5.5200000000000005,10.73,15.33,21.52,46.910000000000004,1.95,3.5700000000000003,4.8100000000000005,5.92,7.05,8.28,9.700000000000001,11.81,15.17,31.740000000000002,0.6900000000000001,21.69,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,4105.0,3130.0,US$2021PPP,Year,0.0006880339430078536,,,13713.0,35281988.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on ERF/LIS Database through LISSY,"ERF Harmonised Household Income and Expenditure Surveys (HHIES), Iraq Household Socio-Economic Survey (IHSES)",https://pip.worldbank.org/,1.0,1.0,0.138,0.146,0.191,0.068,0.128,0.007,0.007,0.007,0.003,0.007,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
ISL,2020,11328,Iceland,IS,24.0,1444.67,1373.28,2041.64,332.02,652.8000000000001,981.27,1345.17,4653.03,0.9400000000000001,4.01,23.16,8.950000000000001,14.22,18.25,22.67,35.92,3.49,5.46,6.63,7.58,8.620000000000001,9.63,10.700000000000001,11.97,14.13,21.79,1.26,13.35,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,Non-EU,OECD,High income,26769.0,24454.0,Euro,Year,,,,59910.0,366614.0,New 2025,High,13,Eurostat,Eurostat Data browser,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,No,4.0,1.0,3.0,0,"(3.0, 4.0, 1.0, 0)"
ISR,2021,12649,Israel,IL,38.12,27.740000000000002,24.830000000000002,30.84,6.12,12.120000000000001,18.11,24.23,56.21,1.68,8.15,16.23,5.33,10.9,16.6,23.71,43.46,1.83,3.5,4.78,6.12,7.57,9.03,10.76,12.94,16.27,27.19,0.62,16.740000000000002,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,OECD,High income,14312.0,11801.0,US$2021PPP,Year,0.3320834082827133,,,46238.0,8942924.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,Household Expenditure Survey,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
ITA,2023,13166,Italy,IT,33.74,2187.91,2011.29,2649.85,491.90000000000003,970.9200000000001,1453.58,1965.1000000000001,5413.650000000001,1.33,5.98,19.1,6.78,12.32,17.14,23.17,40.59,2.46,4.32,5.58,6.74,7.95,9.19,10.67,12.5,15.27,25.32,0.81,15.73,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,EU,OECD,High income,15928.0,13657.0,Euro,Year,0.9411307058009699,,,53312.0,59499452.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
JAM,2021,13258,Jamaica,JM,40.21,,,,,,,,,1.87,8.120000000000001,15.96,5.68,10.28,15.22,22.67,46.14,2.18,3.5,4.6000000000000005,5.68,6.91,8.31,10.23,12.44,16.27,29.87,,30.2,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,7438.0,5544.0,US$2021PPP,Year,0.0085544962770087,,,9577.0,2837682.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2018-2021,JSLC,https://pip.worldbank.org/,,,,,,,,,,,,,No,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
JOR,2014,13546,Jordan,JO,40.1,28.13,31.060000000000002,58.78,7.21,13.540000000000001,19.240000000000002,24.52,44.97,1.86,7.8100000000000005,16.71,5.96,10.74,15.01,21.7,46.58,2.18,3.7800000000000002,4.83,5.91,6.94,8.08,9.71,11.99,15.5,31.080000000000002,0.8,20.57,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,4660.0,3483.0,US$2021PPP,Year,0.71,9304.0,,10149.0,8791710.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on ERF/LIS Database through LISSY,"ERF Harmonised Household Income and Expenditure Surveys (HHIES), Household Expenditure and Income Survey (HEIS)",https://pip.worldbank.org/,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
JPN,2021,13454,Japan,JP,32.35,20.87,18.2,21.63,4.5200000000000005,9.07,13.77,18.84,50.1,1.23,5.7700000000000005,19.82,6.82,13.0,17.55,23.27,39.36,2.2600000000000002,4.55,5.89,7.11,8.2,9.35,10.76,12.51,15.040000000000001,24.32,0.67,14.8,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,East Asia and the Pacific,Non-EU,OECD,High income,16337.0,14334.0,US$2021PPP,Year,0.007639110065881653,,,44549.0,125679336.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,Japan Household Panel Survey (JHPS),http://www.oecd.org/social/income-distribution-database.htm,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
KAZ,2021,13597,Kazakhstan,KZ,29.19,,,,,,,,,1.08,4.0200000000000005,22.86,9.78,13.08,16.31,21.52,39.32,4.3,5.48,6.18,6.890000000000001,7.67,8.64,9.89,11.620000000000001,14.52,24.8,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Central Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,4864.0,3946.0,US$2021PPP,Year,0.006820313166046223,,,32946.0,19743604.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2005-2021,HBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
KEN,2021,13634,Kenya,KE,38.7,0.26,0.3,0.97,,0.13,,0.23,0.39,1.75,6.47,18.2,7.2,11.0,14.6,20.580000000000002,46.61,2.92,4.28,5.1000000000000005,5.9,6.78,7.82,9.21,11.370000000000001,14.83,31.79,,46.2,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1311.0,954.0,US$2021PPP,Year,0.013869464892497602,,,5339.0,53219164.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2005-2021,KCHS,https://pip.worldbank.org/,1.0,1.0,0.229,0.274,0.9380000000000001,0.116,0.20800000000000002,0.029,0.03,0.031,0.014,0.024,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
KGZ,2022,13969,Kyrgyzstan,KG,26.35,,,,,,,,,0.93,3.64,23.75,9.98,13.77,17.44,22.46,36.35,4.37,5.6000000000000005,6.46,7.3100000000000005,8.2,9.24,10.5,11.96,14.32,22.04,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Central Asia,Europe and Central Asia,Non-EU,Non-OECD,Lower middle income,2535.0,2202.0,US$2021PPP,Year,0.02490480143051415,108.0,,6140.0,6955788.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2004-2022,KIHS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
KHM,2012,2974,Cambodia,KH,30.76,,,,,,,,,1.16,4.44,21.71,9.05,12.66,16.3,21.78,40.21,3.93,5.12,5.91,6.75,7.62,8.68,9.97,11.81,14.98,25.23,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,Lower middle income,1996.0,1626.0,US$2011PPP,Year,0.0002479543763947434,1996.0,1626.0,4159.0,14945085.0,New 2017,Average,13,World Bank,World Bank 2016,PovcalNet,Socio-Economic Survey (SES),,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
KIR,2020,13636,Kiribati,KI,27.830000000000002,,,,,,,,,0.99,3.95,22.97,9.47,13.5,17.2,22.46,37.37,4.04,5.43,6.34,7.16,8.11,9.1,10.35,12.11,14.540000000000001,22.84,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Micronesia,East Asia and the Pacific,Non-EU,Non-OECD,Lower middle income,2281.0,1944.0,US$2021PPP,Year,,,,2861.0,126099.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,HIES,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
KNA,2009,20201,Saint Kitts and Nevis,KN,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,High income,,,,,,,,24987.0,46916.0,New 2019,Average,11,Research study,Sir Arthur Lewis Institute of Social and Economic Studies (SALISES),Research Paper,,https://www.bb.undp.org/content/dam/barbados/docs/aboutcountry/barbados/Barbados%20CALC%20Overview%20Report%202010.pdf,,,,,,,,,,,,,Yes,1.0,2.0,2.0,0,"(2.0, 1.0, 2.0, 0)"
KOR,2021,13871,"Korea, Republic of",KR,33.0,19.22,18.95,24.93,4.6000000000000005,9.0,13.25,17.490000000000002,39.71,1.27,5.53,19.650000000000002,7.3,12.36,16.91,23.09,40.35,2.8000000000000003,4.49,5.65,6.7,7.82,9.08,10.59,12.49,15.33,25.02,1.08,15.35,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Eastern Asia,East Asia and the Pacific,Non-EU,OECD,High income,21263.0,17933.0,US$2021PPP,Year,0.0008731190650641025,,,48571.0,51848400.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),https://pip.worldbank.org/,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
KWT,2000,13902,Kuwait,KW,36.02,,,,,,,,,2.37,7.57,16.59,5.93,10.66,15.72,22.8,44.89,1.9000000000000001,3.2,4.4,5.5,6.6000000000000005,7.7,9.0,11.200000000000001,15.1,35.5,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,High income,,,,,,,,60281.0,1954709.0,New 2020,High,12,Research study,Ali 2003,Kuwait Ministry of Planning 2001,Household Income and Expenditure Survey (HIES),http://www.arab-api.org/jodep/products/delivery/wps0307.pdf,,,,,,,,,,,,,Yes,1.0,2.0,3.0,5,"(3.0, 1.0, 2.0, 5)"
LAO,2019,13975,Laos,LA,38.800000000000004,,,,,,,,,1.75,6.6000000000000005,17.81,7.04,10.77,14.74,21.01,46.43,2.95,4.09,4.93,5.84,6.8,7.94,9.47,11.540000000000001,15.19,31.240000000000002,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,South-eastern Asia,East Asia and the Pacific,Non-EU,Non-OECD,Lower middle income,2380.0,1736.0,US$2021PPP,Year,,,,8075.0,7237636.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2012-2018,LECS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
LBN,2012,14278,Lebanon,LB,31.830000000000002,,,,,,,,,1.2,5.07,20.55,7.86,12.69,16.98,22.59,39.88,3.09,4.76,5.86,6.83,7.86,9.120000000000001,10.370000000000001,12.22,15.21,24.67,,34.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,11237.0,9533.0,US$2021PPP,Year,0.0006633499170812604,,,17323.0,5235742.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),"Millennium Development Goals, Lebanon Report 2009",HBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
LBR,2016,14295,Liberia,LR,33.32,0.18,0.22,0.9500000000000001,,0.09,,0.17,0.29,1.44,5.94,18.81,7.21,11.6,16.04,22.34,42.81,2.94,4.2700000000000005,5.29,6.3,7.41,8.63,10.11,12.24,15.72,27.080000000000002,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,1417.0,1130.0,US$2021PPP,Year,0.042159646398562,,,1653.0,4755608.0,New 2025,High,9,World Bank,World Bank microdata,Series 2014-2016,HIES,https://pip.worldbank.org/,1.0,1.0,0.152,0.189,0.914,0.08,0.146,0.032,0.033,0.035,0.014,0.025,No,1.0,2.0,3.0,0,"(3.0, 1.0, 2.0, 0)"
LBY,2008,14299,Libya,LY,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,141.0,118.0,US$2005PPP,Month,,,,21909.0,6235430.0,New 2019,Average,11,Research study,Araar et al. 2015,Policy Researh Working Paper 7225,Household Consumption Survey,http://documents.worldbank.org/curated/en/344571467980552949/pdf/WPS7225.pdf,,,,,,,,,,,,,Yes,1.0,2.0,2.0,0,"(2.0, 1.0, 2.0, 0)"
LCA,2016,20204,Saint Lucia,LC,51.22,,,,,,,,,3.48,17.63,11.09,3.14,7.95,12.950000000000001,20.59,55.370000000000005,0.91,2.23,3.42,4.53,5.84,7.11,8.8,11.790000000000001,16.79,38.58,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,7327.0,4754.0,US$2021PPP,Year,,,,21775.0,175646.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2015-2015,SLCHBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,2.0,2.0,2.0,15,"(2.0, 2.0, 2.0, 15)"
LKA,2019,21986,Sri Lanka,LK,37.660000000000004,,,,,,,,,1.67,6.18,18.52,7.390000000000001,11.13,15.0,20.8,45.68,3.11,4.28,5.14,5.99,6.95,8.05,9.42,11.38,14.84,30.84,,18.3,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Lower middle income,3376.0,2523.0,US$2021PPP,Year,0.006868996744076814,,,14637.0,22410552.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2002-2019,HIES,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
LSO,2018,14290,Lesotho,LS,44.88,,,,,,,,,2.44,10.72,13.49,4.64,8.85,14.19,22.580000000000002,49.75,1.72,2.92,3.9,4.95,6.2700000000000005,7.91,9.99,12.59,16.86,32.89,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Southern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1695.0,1182.0,US$2021PPP,Year,0.16367993970031014,962.0,,2846.0,2183603.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),World Bank. Compilation,CMSHBS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
LTU,2023,14700,Lithuania,LT,36.63,2483.48,2659.4700000000003,5038.09,619.5600000000001,1172.3700000000001,1689.15,2199.12,5024.22,1.55,6.49,18.53,6.74,11.790000000000001,15.73,21.94,43.800000000000004,2.41,4.33,5.45,6.34,7.2700000000000005,8.45,9.96,11.98,15.05,28.75,0.78,18.88,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,9964.0,7845.0,Euro,Year,0.35963568904699494,558.0,,46740.0,2854099.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
LUX,2023,15138,Luxembourg,LU,34.26,2091.89,2086.69,3034.4500000000003,502.53000000000003,975.6800000000001,1432.26,1887.58,4466.67,1.37,5.94,18.77,6.94,11.83,16.91,23.11,41.21,2.77,4.17,5.36,6.47,7.8,9.11,10.58,12.530000000000001,15.43,25.78,1.11,16.03,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,38157.0,32353.0,Euro,Year,0.022385428578357378,,,132847.0,665098.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
LVA,2023,14265,Latvia,LV,33.92,2146.4,2014.6000000000001,2613.31,492.15000000000003,968.37,1441.71,1931.68,4985.2300000000005,1.34,5.92,19.34,6.97,12.370000000000001,16.72,22.68,41.26,2.45,4.5200000000000005,5.68,6.69,7.76,8.96,10.41,12.27,15.41,25.85,0.8300000000000001,15.96,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,8884.0,7414.0,Euro,Year,0.540233333333333,1212.0,,37007.0,1882396.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
